restFrequency,stdWidth,v0,rmsLower,freqMin,freqMax,name,unit,rmsUpper,lower,stdPosition,position,width,stdMaxAmplitude,widthMethod,knownRestFrequency,transition,initialFrequencyScale,eup,maxAmplitude,stdV0,fwhm,stdFlux,species,aij,flux,upper,skyFrequency,rms,peakpos,snr,peakposMethod,vlsr
497.8261422770686,0.08642746240778457,4.075322962597052,497.7495,497.814,497.8295,IRAS16293,GHz,497.89300000000003,497.79850000000005,1.4351740824913075E-4,497.82135661699544,2.3987710877847177,0.0017934565031247588,Gaussian,497.828124,A-CH3OH(8 2 - 0 _ 8 1 + 0),sky,121.2682,0.056314902461800674,0.08642746240776185,5.648674240956148,3.945160085708335E-5,A-CH3OH,6.35E-4,5.812234944049763E-4,497.84499999999997,497.8195,0.006680127228614474,0,7.709205674858043,Gaussian,4.0
501.1076860612759,0.15850674536623427,4.197513107797186,501.043,501.096,501.105,IRAS16293,GHz,501.1585,501.087,2.6494215657068925E-4,501.1006657925955,2.0157100149564524,0.002276559756128718,Gaussian,501.10768199999995,"SO2, v=0(28 0 28 _ 27 1 27)",sky,354.2826,0.037251698204677414,0.15850639555730048,4.7466343481890885,3.1252139550342275E-5,"SO2, v=0",0.0017,2.2363114456270094E-4,501.11400000000003,501.101,0.007051370541717022,0,5.125694073330262,Gaussian,4.0
501.58869247913475,0.18413110605145933,4.064342220308045,501.523,501.57550000000003,501.5895,IRAS16293,GHz,501.641,501.5615000000001,3.08069340978103E-4,501.58208986594576,2.3782530844703538,0.0029965519267400494,Gaussian,501.58889000000005,A-CH3OH(9 2 - 0 _ 9 1 + 0),sky,142.1515,0.0475703667252258,0.1841311060188556,5.6003580354674725,6.060378615272831E-5,A-CH3OH,6.53E-4,4.3160532094956445E-4,501.60349999999994,501.582,0.00843120979316675,0,5.642175665440113,Gaussian,4.0
504.7182342352453,0.10830994317399319,4.1732539086171085,504.629,504.7065,504.719,IRAS16293,GHz,504.7955,504.694,1.8234402031693092E-4,504.7123140662175,2.1139496301084573,0.0016655449692935063,Gaussian,504.71934000000005,S-34-O(12 11 _ 11 10),sky,164.4989,0.03883651974358298,0.1083099431674311,4.977970963165156,2.9940112654356978E-5,S-34-O,0.00168,3.1809941989815874E-4,504.7315,504.7115,0.00664091669946494,0,5.411096842630672,Gaussian,4.0
505.7637481850819,0.19224147457567148,2.3796119405534264,505.6465,505.7495,505.7675,IRAS16293,GHz,505.8695,505.73150000000004,3.2431651159352926E-4,505.75789849911735,2.961438649768563,0.0027555053475839895,Gaussian,505.761913,A-CH3OH(10 2 - 0 _ 10 1 + 0),sky,165.3508,0.04955046775014796,0.19224147456548188,6.973655094604402,7.392878006297559E-5,A-CH3OH,6.72E-4,6.133897357298746E-4,505.78549999999996,505.757,0.007678360647815421,0,6.233725060275881,Gaussian,4.0
507.2962686328338,0.2505275042422,4.738315964370215,507.22,507.272,507.2945,IRAS16293,GHz,507.35900000000004,507.24949999999995,4.2392651640093924E-4,507.28950000000003,1.8515126434156597,0.004723610119528224,Gaussian,507.29751799999997,S-34-O(12 13 _ 11 12),sky,162.6535,0.041383921239062725,0.2505275042420844,4.359979086343436,1.6755217693724162E-6,S-34-O,0.00172,6.7168418355752515E-6,507.31700000000006,507.28950000000003,0.007315775389517523,0,5.656805879847003,Gaussian,4.0
510.90881683348863,0.09930683759316858,4.282702872288582,510.84700000000004,510.89750000000004,510.907,IRAS16293,GHz,510.95750000000004,510.8880000000001,1.6923739770385214E-4,510.90233737020736,1.3992850950681768,0.002497525250705776,Gaussian,510.90963600000003,HCO-18+(6 _ 5),sky,85.82479366478483,0.042363024628321776,0.09930683759310592,3.2950645905795803,2.653815556324543E-5,HCO-18+,0.010894836320121767,2.0425748981466548E-4,510.9164999999999,510.902,0.007986653178697166,0,5.274366419519904,Gaussian,4.0
511.5023247524059,0.17299104139477134,3.1099585765252704,511.43600000000004,511.49,511.50600000000003,IRAS16293,GHz,511.5575,511.474,2.9515195543911856E-4,511.4966048299728,2.749817606276173,0.002159904837745815,Gaussian,511.501911,"SO2, v=0(28 1 27 _ 27 2 26)",sky,375.4664,0.044560170058622006,0.17299104113117816,6.475325619438155,4.8744732946457677E-5,"SO2, v=0",0.00134,4.376370048753885E-4,511.52200000000005,511.4955,0.006910293178498397,0,5.674877872554381,Gaussian,4.0
511.7223276878091,0.15367677128638077,3.389273298568178,511.6545,511.70550000000003,511.721,IRAS16293,GHz,511.773,511.69000000000005,2.6230987529175993E-4,511.7137848061812,2.400140936769759,0.0022380477022866945,Gaussian,511.71957000000003,"CH3OCH3, v=0(10 6 4 3 _ 9 5 4 3)",sky,100.6651,0.04225837254930787,0.15367677128568194,5.6518999888047885,4.6970157119729187E-5,"CH3OCH3, v=0",7.4E-4,4.0149113362731697E-4,511.7365,511.7155,0.006891419292471268,0,5.857444135589833,Gaussian,4.0
513.3693496633049,0.15211239882749963,3.6675681561499176,513.2860000000001,513.352,513.371,IRAS16293,GHz,513.438,513.333,2.6047597333615015E-4,513.3620486107321,3.4589557198653607,0.0015695383368649035,Gaussian,513.368329,"CH3OCH3, v=0(7 7 0 0 _ 6 6 1 0)",sky,94.3646,0.04360403563383883,0.15211239807794863,8.145218264013408,4.803348360098699E-5,"CH3OCH3, v=0",0.00115,6.006314105924609E-4,513.39,513.3625,0.008019684202123397,0,5.34412210411455,Gaussian,4.0
